settlement_id,payment_id,order_id,amount,batch_id,status,settled_at
stl_FJGkm6Tw9znfFD,pay_L0WH7utomsAq6n,ord_1KVHOmY53SJljt,5134.73,batch_0019,settled,2026-02-18T12:12:00
stl_zx0MbbbDTizHVS,pay_nTsMZzkGjYPw5W,ord_NyD6rOuipJhjRV,3152.95,batch_0019,settled,2026-03-11T11:01:00
stl_xjT0UXNX8aNZoy,pay_USrMppTsSCKG9q,ord_D3hOwMSDU0mni6,11355.04,batch_0019,settled,2026-01-09T00:29:00
stl_gkNM0Uj6L1r76s,pay_8ZhShvCI678lY2,ord_u3pYEIPPvGdwN7,6398.79,batch_0019,settled,2026-01-23T09:17:00
stl_Lj2US26cZpMAkS,pay_TKPmiruNGGVLoB,ord_iYVY6pWOylZe7r,44642.66,batch_0019,settled,2026-01-13T12:27:00
stl_P4AyUvW0JG6YMW,pay_9ZELJL1PcgZNgf,ord_rSrpFAZ8fgXpEK,33314.86,batch_0019,settled,2026-01-12T20:25:00
stl_X3U7ugK4RIUHyR,pay_uMTZoZgSNtElxq,ord_rWuRNVjI1OTUWk,25041.84,batch_0020,settled,2026-01-09T14:23:00
stl_8Xqw36tw7i19pH,pay_apbLZzIJz0KM38,ord_M8unZpj9bnRn2B,40841.64,batch_0020,settled,2026-01-14T09:24:00
stl_V9Zb5TufzRQXxD,pay_J6TSER69nCHPuJ,ord_ZCBKe9bBO3DRdv,47741.24,batch_0020,settled,2026-01-26T13:29:00
stl_3Xh55gQKkgljMu,pay_Mlnv24LJ3R2ljY,ord_2dIQfa9ausXJxe,8702.41,batch_0020,settled,2026-02-26T07:01:00
stl_c6tK3HNTHcsl7d,pay_iVsMzxEEtEyEWr,ord_5Y4R0gGPtGJGyH,10126.51,batch_0020,settled,2026-01-31T08:22:00
stl_0lWpaQcVhQehjX,pay_jLMq5QS3t6O4za,ord_Na5mQ5aoYZ99Zx,41905.59,batch_0020,settled,2026-01-05T19:27:00
stl_jsdlmOB2epGIi7,pay_BVPF8VScaj1pkC,ord_6IEh9DgoZlVXoM,21961.62,batch_0020,settled,2026-01-14T04:29:00
stl_iCSHoy0v6AzTBy,pay_v9C5jHwiNk792w,ord_J1VcHbZDJxQx4o,24579.06,batch_0020,settled,2026-01-24T08:01:00
stl_ELVGMcgeb51uf5,pay_lBRxPqUIjyWmzD,ord_xtyDHC471zmu3O,46862.39,batch_0020,settled,2026-02-08T20:28:00
stl_eisyj9XP7tS6fL,pay_2DDVK9wBJBbEPv,ord_jzHMjID8Q48PjB,37808.11,batch_0020,settled,2026-01-14T13:11:00
stl_eVSaUfK4wQQeq0,pay_2Vrks4Q4COfFlK,ord_2WGBZc9GyTIFNd,14629.85,batch_9461,settled,2026-02-06T23:29:00
